nome,nparti,semana,ano,data,cidade,estado,5km,10km,21km,42km
CORRIDA 100% VOCE,5529,28,2025,08/07/2025,ARACAJU,SE,1,1,0,0
CIRCUITO DAS ESTACOES 2025 - VERAO - FORTALEZA,5502,49,2025,30/11/2025,FORTALEZA,CE,1,1,0,0
CIRCUITO DAS ESTACOES 2025 - PRIMAVERA - BELO HORIZONTE,5472,37,2025,07/09/2025,BELO HORIZONTE,MG,1,1,1,0
MARATONA PRAIA GRANDE,5410,25,2025,15/06/2025,PRAIA GRANDE,SP,1,1,1,1
DESAFIO MINALBA 2025,5321,48,2025,23/11/2025,SAO PAULO,SP,1,1,0,0
CORRIDAS CURITIBA 2025 - ETAPA 3,5273,26,2025,22/06/2025,SAO JOSE DOS PINHAIS,PR,1,1,0,0
MEIA MARATONA THE BEST ACAI 2025,5235,46,2025,09/11/2025,LONDRINA,PR,1,1,1,0
CIRCUITO DO SOL - SAO PAULO 2026,5152,6,2026,01/02/2026,SAO PAULO,SP,1,1,1,0
TRICOLOR RUN NOTURNA 2025 - 2 ETAPA,5127,51,2025,20/12/2025,SAO PAULO,SP,1,1,0,0
COXA RUN 2025,5110,46,2025,09/11/2025,CURITIBA,PR,1,1,0,0
CIRCUITO LIGHT RIO ANTIGO - ETAPA LARGO DA CARIOCA,5096,29,2025,13/07/2025,RIO DE JANEIRO,RJ,1,1,0,0
ENDORFINA RUN - RECREIO,5088,24,2025,08/06/2025,RIO DE JANEIRO,RJ,1,0,0,0
3 SPORTV RUN,5064,25,2025,15/06/2025,RIO DE JANEIRO,RJ,1,1,0,0
CIRCUITO ANAPOLINO DE CORRIDA DE RUA - ETAPA 5,5062,35,2025,24/08/2025,ANAPOLIS,GO,1,0,0,0
14 CIRCUITO ANAPOLINO DE CORRIDA DE RUA - 7 ETAPA,5054,47,2025,16/11/2025,ANAPOLIS,GO,1,0,1,0
1 MEIA MARATONA DE ANAPOLIS 21K,5054,47,2025,16/11/2025,ANAPOLIS,GO,1,0,1,0
